V1,V2,V3
0.0833383699444882,-0.287681148333248,-0.0416167716162294
0.218654027472348,-0.508751476431693,-0.336969046787008
-0.555934546960246,1.2808253852654,0.868503270426466
0.559212963824091,-1.29368707644324,-0.868710319602593
-0.541717633202878,1.21643964973053,0.875577283139912
0.53460476500644,-1.22276426245598,-0.843438393871447
-0.100593789598725,-0.96948176404888,1.26926423919048
0.321511496736239,-0.690085972854637,-0.549169035157974
0.1884693449517,-0.534123178363762,-0.201941099065524
-0.462365666975935,1.6289251548673,0.200474798501525
-0.457588653655134,0.933823349774183,0.826349991417288
